,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed,acceptance_rate,percentile
0,6,0,24890.0,20.15,3.3,31.8,61.3,0.9,2.7,2.04,2.4,2.3,2.45,3.33,2.32,36.6,97.6,7.5,333.0,2.7,0.33,0.26,0.0,0-25th
1,6,0,23536.0,24.56,5.7,12.4,78.7,0.5,2.7,3.41,3.25,2.5,4.11,3.12,3.26,31.0,87.3,9.7,371.0,2.71,0.31,0.24,0.0,0-25th
2,67,23,16206.0,29.69,69.4,3.7,13.5,6.1,7.3,2.98,2.96,3.68,2.75,3.38,2.91,16.5,67.5,15.1,684.0,4.28,0.68,0.74,0.34,75-100th
3,0,0,21960.0,24.09,1.8,29.3,66.1,0.0,2.8,3.87,4.25,3.79,4.99,4.99,4.99,29.1,91.5,15.9,433.0,4.54,0.28,0.24,,0-25th
5,13,0,34000.0,12.5,8.9,23.2,63.1,1.0,3.9,2.84,4.02,3.39,3.95,3.54,4.16,44.3,87.7,5.4,203.0,2.51,0.27,0.18,0.0,25-50th
6,19,1,23623.0,20.33,13.7,27.3,56.6,0.8,1.6,4.78,3.2,3.67,3.62,4.07,3.68,38.3,80.1,9.0,256.0,3.12,0.32,0.22,0.05,25-50th
7,16,1,20377.0,10.64,11.9,16.5,53.7,3.2,14.6,4.37,4.57,4.53,4.2,4.68,4.31,26.4,64.7,0.9,683.0,2.51,0.61,0.54,0.06,25-50th
8,126,91,13776.0,28.75,33.2,7.7,11.8,7.4,39.9,3.89,3.19,3.97,3.74,4.08,3.08,8.0,22.8,0.8,1734.0,4.58,0.9,0.9,0.72,75-100th
9,66,14,19395.0,29.0,23.1,13.7,38.6,3.8,20.9,4.25,4.44,3.76,3.74,3.98,3.85,26.5,68.9,2.1,373.0,3.77,0.55,0.49,0.21,75-100th
10,260,53,16664.0,23.5,33.7,7.5,19.0,5.2,34.7,4.21,4.16,3.74,3.19,3.21,3.5,17.0,43.8,4.1,1134.0,3.43,0.74,0.72,0.2,75-100th
11,124,75,17358.0,29.53,12.2,3.6,8.9,7.8,67.6,4.81,4.48,4.31,3.91,4.03,3.77,15.8,10.9,0.0,450.0,4.6,0.9,0.9,0.6,75-100th
12,66,18,18820.0,28.03,62.1,9.3,18.0,2.7,7.9,4.8,4.71,4.06,3.92,4.23,4.03,18.2,79.6,16.7,784.0,3.22,0.71,0.69,0.27,75-100th
13,54,7,25468.0,19.35,81.4,6.0,10.6,0.2,1.8,3.94,4.29,4.12,3.88,3.81,3.86,25.7,93.3,32.6,436.0,3.93,0.42,0.46,0.13,75-100th
14,258,77,15175.0,28.62,21.0,6.0,15.9,5.0,52.1,4.15,3.88,3.63,3.34,3.35,3.45,16.2,30.6,3.1,1336.0,4.14,0.79,0.76,0.3,75-100th
16,6,0,17411.0,27.26,30.0,11.4,14.9,5.2,38.5,4.41,4.6,3.61,4.15,4.4,3.37,11.5,33.8,16.4,616.0,3.92,0.68,0.68,0.0,0-25th
17,0,0,19498.0,15.19,5.6,16.6,32.2,8.4,37.2,3.41,3.77,3.29,3.77,4.44,3.92,21.3,33.4,0.9,320.0,3.7,0.57,0.47,,0-25th
18,108,70,15683.0,29.08,16.6,1.8,11.4,8.8,61.4,4.16,4.76,4.6,4.78,4.62,4.75,16.6,10.6,0.5,386.0,4.42,0.9,0.9,0.65,75-100th
19,36,17,24751.0,29.56,12.6,4.6,11.4,7.3,64.1,4.51,2.56,4.06,2.27,4.0,3.11,16.4,13.6,0.3,604.0,4.26,0.9,0.88,0.47,50-75th
20,56,22,16262.0,26.92,19.6,4.1,13.2,9.1,54.1,4.65,3.61,3.81,3.87,4.29,3.71,17.8,12.6,3.1,827.0,4.21,0.79,0.77,0.39,75-100th
21,47,2,17648.0,29.3,44.2,3.9,11.3,2.1,38.5,4.05,4.43,3.97,3.65,3.95,3.78,23.3,50.2,1.8,283.0,4.11,0.72,0.67,0.04,50-75th
22,163,113,15853.0,31.83,55.1,2.0,6.5,6.5,30.0,3.6,4.21,4.22,3.27,4.08,4.03,16.4,38.3,1.4,554.0,4.34,0.88,0.89,0.69,75-100th
23,0,0,53217.0,6.97,3.0,19.8,43.1,8.6,25.4,3.19,2.1,3.0,2.74,3.03,3.22,52.3,61.9,25.9,197.0,4.96,0.33,0.27,,0-25th
24,36,10,20143.0,24.97,15.8,3.3,13.9,11.9,55.1,3.99,4.14,3.57,3.68,4.45,3.73,16.9,13.2,3.0,539.0,4.07,0.79,0.79,0.28,50-75th
26,9,0,16282.0,15.52,6.5,21.2,21.4,8.1,42.7,3.48,3.6,3.79,3.75,3.72,3.42,14.9,36.5,0.2,565.0,3.89,0.88,0.84,0.0,0-25th
27,46,15,16222.0,13.83,17.1,11.1,26.4,9.1,36.4,4.26,4.24,3.87,3.42,3.67,3.23,20.9,38.9,1.7,750.0,3.62,0.7,0.62,0.33,50-75th
28,33,2,18782.0,25.16,10.8,22.0,42.7,4.3,20.3,3.13,3.76,3.14,3.38,3.67,3.47,29.9,68.4,2.7,586.0,2.56,0.47,0.36,0.06,50-75th
29,15,1,23002.0,21.29,31.9,19.1,21.3,5.7,22.0,4.46,3.81,4.64,4.1,4.38,4.54,4.3,53.2,1.4,141.0,4.18,0.8,0.79,0.07,25-50th
31,70,8,26853.0,29.17,42.6,10.9,16.6,2.3,27.5,3.97,4.49,4.28,4.26,4.62,4.39,27.5,57.4,6.2,385.0,4.33,0.59,0.52,0.11,75-100th
33,257,150,17359.0,25.47,11.0,8.6,14.7,8.0,57.7,4.42,3.85,4.13,3.62,4.45,3.52,11.5,23.8,1.1,852.0,4.14,0.89,0.88,0.58,75-100th
34,0,0,21657.0,21.65,0.4,75.2,21.4,0.2,2.8,4.06,3.66,3.53,3.86,4.09,4.24,23.5,96.2,8.7,472.0,2.01,0.29,0.23,,0-25th
35,0,0,24470.0,18.32,2.1,62.1,28.5,2.1,5.1,3.23,2.86,3.9,3.16,3.41,3.0,23.4,99.1,15.3,235.0,2.6,0.25,0.18,,0-25th
36,7,0,18175.0,22.29,4.8,14.9,60.1,2.0,18.2,3.9,3.52,2.77,3.48,4.1,3.5,19.9,71.2,13.7,604.0,2.62,0.43,0.4,0.0,0-25th
37,22,2,20175.0,22.74,2.4,51.6,29.5,5.7,10.8,2.65,2.53,2.6,2.7,3.59,1.95,16.1,71.6,7.0,545.0,2.6,0.42,0.38,0.09,25-50th
38,6,0,23101.0,20.56,5.6,31.4,45.9,1.9,15.1,3.44,3.48,3.04,3.47,4.09,3.76,26.7,73.4,9.1,516.0,2.76,0.31,0.27,0.0,0-25th
39,38,14,17592.0,25.44,6.0,11.5,18.3,6.4,57.9,3.84,3.94,4.63,4.38,4.23,4.47,14.0,11.9,0.0,235.0,4.52,0.85,0.8,0.37,50-75th
40,70,19,16298.0,24.18,8.0,12.0,27.5,4.7,47.7,4.35,4.11,4.07,2.9,4.17,3.6,19.2,27.3,2.0,400.0,3.94,0.76,0.73,0.27,75-100th
41,12,0,17060.0,21.67,0.0,1.0,97.0,0.0,2.0,4.45,4.49,4.07,4.03,4.46,4.35,25.8,89.4,24.2,198.0,4.41,0.38,0.33,0.0,25-50th
42,0,0,23191.0,31.67,1.1,29.8,52.8,6.7,9.6,3.43,4.83,3.57,4.64,4.2,4.08,28.7,71.3,6.7,178.0,2.71,0.34,0.23,,0-25th
43,11,0,24280.0,15.9,1.4,50.0,34.8,3.6,10.1,3.62,3.93,3.43,3.87,3.98,4.34,23.9,84.1,15.9,138.0,3.73,0.37,0.29,0.0,25-50th
44,11,0,22415.0,21.5,1.3,42.6,46.6,0.4,9.0,3.95,4.72,3.39,4.62,4.15,4.05,24.7,75.3,4.0,223.0,3.94,0.4,0.29,0.0,25-50th
46,15,1,20066.0,27.05,6.0,11.4,17.9,5.7,59.0,3.99,3.03,3.04,2.64,4.36,2.44,18.6,17.5,2.3,753.0,3.5,0.73,0.73,0.07,25-50th
47,75,58,15971.0,32.0,27.0,2.8,9.1,9.9,51.2,4.66,3.66,4.05,2.66,4.53,3.23,6.5,8.4,0.2,537.0,4.68,0.9,0.9,0.77,75-100th
48,0,0,21962.0,9.83,0.7,54.0,39.2,3.2,2.9,2.41,3.27,3.03,2.99,3.79,3.26,25.5,80.9,3.2,278.0,3.41,0.27,0.15,,0-25th
49,21,1,24840.0,19.45,0.5,60.6,36.5,0.5,2.0,3.54,4.47,3.61,4.13,3.95,3.95,34.5,85.7,6.4,203.0,3.9,0.31,0.2,0.05,25-50th
50,10,7,20398.0,17.36,14.3,12.1,15.0,15.0,43.6,4.77,4.34,4.12,3.15,4.07,3.81,10.2,20.4,0.3,314.0,4.68,0.9,0.9,0.7,0-25th
51,0,0,21189.0,13.0,2.8,63.8,31.1,1.1,1.1,2.6,2.34,3.23,2.76,2.7,2.33,24.3,80.2,11.6,354.0,4.25,0.2,0.15,,0-25th
52,64,12,15372.0,26.54,4.4,26.6,43.3,6.4,19.3,4.32,4.52,4.15,4.8,4.36,4.11,23.1,62.0,2.0,342.0,4.33,0.61,0.51,0.19,75-100th
53,0,0,20702.0,23.0,2.8,27.5,65.5,1.7,2.5,3.67,3.17,2.64,2.63,2.57,2.82,26.6,90.5,13.2,357.0,3.66,0.37,0.33,,0-25th
54,54,27,14573.0,31.35,38.8,18.6,17.0,10.2,15.3,4.76,3.05,4.08,2.74,3.89,2.5,4.6,38.5,0.0,587.0,4.64,0.9,0.9,0.5,75-100th
56,20,1,19237.0,24.79,3.5,26.0,67.4,1.3,1.7,3.35,3.49,3.01,3.22,2.91,3.37,27.4,87.9,10.4,818.0,2.02,0.39,0.37,0.05,25-50th
57,11,0,23186.0,14.9,2.6,13.9,80.5,0.3,2.7,3.97,4.57,3.15,3.93,3.13,3.68,24.4,90.2,11.9,620.0,2.45,0.36,0.33,0.0,25-50th
58,0,0,21449.0,22.0,2.3,25.4,68.0,1.3,3.0,3.34,2.65,2.88,3.08,1.97,3.15,31.0,94.0,20.4,397.0,2.09,0.27,0.23,,0-25th
59,9,0,19804.0,24.23,3.3,31.9,62.4,0.7,1.8,2.71,3.66,3.3,3.38,3.71,4.26,32.1,89.2,9.1,452.0,3.03,0.28,0.24,0.0,0-25th
60,43,2,17443.0,27.07,6.2,26.6,59.9,3.0,4.3,4.85,4.42,3.89,4.12,3.3,3.92,21.4,69.2,3.3,725.0,4.2,0.65,0.65,0.05,50-75th
61,17,1,31446.0,17.0,2.5,27.9,63.8,2.7,3.0,3.22,3.67,2.81,3.55,3.3,3.68,41.9,84.1,16.1,473.0,3.2,0.31,0.28,0.06,25-50th
62,14,0,18936.0,23.5,9.9,26.7,53.5,1.7,8.1,4.06,4.12,3.91,3.47,3.33,3.51,27.9,72.7,7.6,172.0,3.95,0.49,0.39,0.0,25-50th
63,0,0,24759.0,22.32,2.1,11.1,85.0,0.2,1.6,3.3,3.52,3.15,3.46,3.19,3.5,25.6,90.5,29.7,559.0,3.68,0.22,0.16,,0-25th
64,6,0,25244.0,16.0,1.4,32.7,61.9,1.4,2.7,3.64,4.31,3.73,3.66,3.98,3.98,30.6,93.2,8.8,147.0,4.2,0.28,0.17,0.0,0-25th
66,8,0,18779.0,16.0,8.7,23.9,60.9,2.7,3.7,4.48,4.66,4.12,4.12,3.3,4.31,20.8,79.8,2.7,481.0,3.74,0.6,0.46,0.0,0-25th
67,20,1,20734.0,21.6,5.7,26.0,65.6,0.0,2.6,3.0,3.14,3.41,3.58,3.13,3.75,31.3,91.1,12.0,192.0,4.42,0.35,0.26,0.05,25-50th
68,6,0,24262.0,14.5,6.5,29.5,35.0,8.5,20.5,4.11,4.28,2.91,3.53,3.95,3.14,21.7,42.2,0.4,448.0,2.42,0.48,0.41,0.0,0-25th
69,8,0,18174.0,22.48,0.6,48.7,48.7,1.2,0.8,2.75,3.12,3.31,2.84,2.95,3.34,29.8,94.1,10.4,661.0,3.09,0.24,0.21,0.0,0-25th
70,0,0,23974.0,19.42,1.5,51.4,40.7,2.3,4.2,2.86,3.1,2.92,3.37,3.37,3.55,24.8,95.4,19.6,479.0,3.08,0.26,0.2,,0-25th
71,21,1,22732.0,20.81,3.4,48.5,44.4,2.5,1.1,2.37,2.82,2.37,2.34,1.83,3.24,25.3,92.9,8.5,435.0,3.34,0.32,0.27,0.05,25-50th
73,16,1,21096.0,22.83,2.1,20.6,74.1,1.1,2.0,2.6,3.24,2.86,3.52,3.77,3.84,24.8,96.4,26.7,838.0,2.83,0.31,0.29,0.06,25-50th
74,15,1,24503.0,21.5,2.4,55.6,34.9,5.3,1.8,2.69,2.56,2.62,2.32,3.16,2.88,33.1,89.9,6.5,169.0,2.58,0.26,0.15,0.07,25-50th
76,42,23,14678.0,22.13,9.5,23.4,40.9,3.4,22.8,4.35,4.01,3.8,3.65,4.15,3.78,15.0,53.6,0.6,702.0,4.39,0.82,0.81,0.55,50-75th
79,10,0,18888.0,18.33,1.8,69.7,25.8,1.5,1.3,3.28,4.36,4.18,3.7,3.51,3.61,19.2,73.7,3.5,547.0,1.82,0.48,0.37,0.0,0-25th
80,6,0,21437.0,22.74,0.3,2.0,96.9,0.0,0.8,3.78,4.38,3.75,4.13,3.81,4.35,21.0,92.6,32.9,353.0,2.48,0.32,0.3,0.0,0-25th
81,13,0,22924.0,22.21,0.0,3.4,94.8,1.1,0.7,3.5,3.4,2.87,2.91,4.1,3.65,21.3,97.4,42.7,267.0,3.7,0.24,0.17,0.0,25-50th
82,17,1,24818.0,21.24,0.0,2.3,91.7,0.8,5.3,2.86,3.77,2.61,3.13,3.27,3.91,27.9,88.7,58.9,265.0,3.25,0.17,0.15,0.06,25-50th
83,36,2,17120.0,31.12,4.3,3.4,51.8,4.1,36.4,3.95,3.63,3.84,3.93,4.36,3.9,17.5,42.1,4.8,799.0,3.5,0.64,0.6,0.06,50-75th
85,8,2,21254.0,25.3,0.5,2.4,96.9,0.2,0.0,3.8,3.63,3.75,3.69,3.85,3.79,22.0,91.6,35.8,419.0,3.8,0.46,0.51,0.25,0-25th
87,81,2,20477.0,21.77,2.4,9.2,82.2,1.4,4.8,3.0,3.64,3.79,3.7,3.83,4.07,14.0,80.1,2.7,292.0,4.43,0.67,0.64,0.02,75-100th
88,24,9,18641.0,29.56,2.1,2.0,78.9,1.1,15.9,4.14,3.94,4.12,4.46,4.36,4.53,19.5,66.7,15.2,559.0,4.06,0.56,0.48,0.38,50-75th
89,13,0,18560.0,28.24,1.5,3.5,91.4,0.7,3.0,3.24,3.33,3.27,3.12,3.4,3.31,14.6,82.6,5.5,602.0,3.64,0.53,0.45,0.0,25-50th
90,12,0,19824.0,22.74,1.5,1.5,91.9,0.8,4.3,3.82,3.66,3.9,3.99,3.94,4.18,13.2,81.0,25.3,395.0,4.09,0.44,0.4,0.0,25-50th
91,27,2,21258.0,21.23,0.2,4.3,94.3,0.0,1.2,4.59,4.18,4.19,3.64,4.48,3.86,23.2,97.8,37.3,418.0,3.53,0.32,0.26,0.07,50-75th
92,22,1,21632.0,21.11,0.6,3.2,94.5,0.0,1.6,4.53,4.17,3.12,4.19,4.3,3.87,20.6,92.6,39.0,310.0,3.66,0.29,0.23,0.05,25-50th
93,20,1,22577.0,22.5,0.5,12.0,84.2,0.5,2.8,4.79,4.41,4.04,3.83,3.62,3.86,27.1,90.5,34.3,399.0,3.84,0.31,0.22,0.05,25-50th
94,9,0,24851.0,16.22,3.9,12.7,82.5,0.4,0.4,2.35,3.21,2.88,3.42,4.37,3.83,35.8,99.1,50.7,229.0,2.85,0.15,0.15,0.0,0-25th
95,16,1,18856.0,16.67,0.9,6.5,90.8,0.3,1.6,3.72,4.64,4.05,4.42,4.24,4.39,18.9,93.0,17.4,703.0,4.11,0.36,0.29,0.06,25-50th
96,6,0,19546.0,26.0,0.9,3.4,91.7,0.6,3.4,4.75,4.34,4.06,4.3,3.66,4.33,20.6,76.3,15.5,815.0,3.21,0.36,0.27,0.0,0-25th
97,0,0,22135.0,23.0,0.0,0.0,100.0,0.0,0.0,3.77,3.34,4.32,3.69,4.15,4.21,0.0,98.4,85.3,129.0,3.45,0.15,0.15,,0-25th
98,15,1,17838.0,28.33,1.9,1.8,93.9,0.7,1.8,3.9,3.86,3.79,3.59,4.17,3.62,15.6,89.5,12.8,571.0,4.49,0.59,0.57,0.07,25-50th
99,0,0,20975.0,22.6,0.4,1.3,98.2,0.0,0.0,3.91,3.68,4.52,3.95,4.45,3.58,17.4,96.0,24.6,224.0,3.62,0.36,0.21,,0-25th
100,8,0,20312.0,22.25,0.4,27.4,68.4,0.8,2.9,4.12,3.27,2.5,3.36,2.74,3.02,22.3,95.4,23.3,722.0,2.29,0.26,0.23,0.0,0-25th
101,10,0,21645.0,22.71,1.5,29.9,66.0,1.4,1.1,4.06,3.74,3.38,2.78,3.13,3.34,20.2,92.4,12.8,792.0,2.19,0.26,0.22,0.0,0-25th
102,9,0,19918.0,25.32,2.8,27.4,66.4,0.8,2.5,2.16,2.75,2.94,3.13,2.74,3.47,24.6,91.2,14.0,708.0,2.97,0.27,0.24,0.0,0-25th
103,0,0,24328.0,17.97,0.0,26.8,70.5,0.4,2.3,3.59,3.78,3.01,3.6,4.07,3.94,24.5,99.2,33.7,261.0,2.05,0.21,0.15,,0-25th
104,8,0,19410.0,26.83,1.5,25.0,71.0,0.6,1.8,4.44,4.58,4.61,4.2,3.18,4.18,26.7,96.4,7.3,659.0,4.06,0.35,0.28,0.0,0-25th
105,18,1,19074.0,25.06,0.6,17.8,80.6,0.3,0.7,4.52,3.84,4.13,2.72,3.36,3.28,21.3,97.4,8.9,684.0,4.34,0.48,0.41,0.06,25-50th
106,0,0,21783.0,19.24,0.3,26.3,71.8,0.3,1.4,2.64,1.92,2.27,2.82,3.36,2.37,27.1,98.0,22.1,358.0,2.18,0.22,0.16,,0-25th
107,6,0,22138.0,19.84,1.2,32.8,64.0,1.2,0.8,2.73,3.36,2.59,3.41,2.79,3.07,31.6,93.3,10.3,253.0,3.18,0.24,0.15,0.0,0-25th
108,9,0,20363.0,18.15,0.4,20.6,76.5,0.8,1.6,3.12,2.47,3.09,2.82,3.47,3.04,27.1,91.1,27.9,247.0,2.61,0.27,0.17,0.0,0-25th
109,31,2,22281.0,22.77,0.7,28.3,69.0,0.7,1.3,4.09,4.41,3.76,4.15,3.61,4.14,25.0,94.3,11.7,300.0,4.3,0.35,0.25,0.06,50-75th
110,0,0,17909.0,19.18,2.2,22.0,73.6,0.8,1.4,3.21,3.84,3.88,3.76,3.89,4.09,21.9,85.4,4.3,508.0,3.32,0.43,0.35,,0-25th
111,0,0,18612.0,12.17,0.3,33.2,62.9,0.7,2.9,4.48,3.52,3.23,3.89,3.62,3.64,30.7,89.8,14.1,590.0,3.26,0.25,0.17,,0-25th
113,96,2,18321.0,25.53,8.2,5.0,62.5,1.5,22.8,3.82,4.02,3.09,3.25,2.96,3.28,19.6,73.0,10.9,1646.0,3.41,0.49,0.45,0.02,75-100th
114,66,7,18173.0,23.14,12.5,9.9,57.0,1.9,18.6,3.67,4.09,3.48,3.8,3.42,3.95,23.8,74.5,1.7,526.0,3.25,0.66,0.59,0.11,75-100th
115,11,0,21408.0,21.96,2.8,23.7,72.4,0.8,0.3,3.21,3.65,2.69,3.64,3.63,3.73,27.3,87.3,26.5,355.0,3.34,0.22,0.15,0.0,25-50th
117,22,1,21401.0,25.0,4.6,32.6,60.7,1.1,1.1,2.94,3.32,2.73,3.54,3.15,3.22,32.8,84.3,12.2,460.0,3.18,0.3,0.19,0.05,25-50th
118,0,0,20045.0,13.5,0.6,19.8,78.4,0.2,1.1,2.56,3.25,3.03,2.99,3.15,3.55,26.3,84.8,13.1,643.0,2.95,0.27,0.18,,0-25th
119,0,0,27706.0,22.65,0.0,40.8,57.1,0.4,1.6,3.22,3.39,2.79,3.6,3.86,3.0,25.3,94.7,26.1,245.0,2.81,0.18,0.15,,0-25th
120,13,0,22320.0,22.69,0.4,21.7,75.8,0.8,1.2,3.97,3.38,3.52,3.9,3.89,3.75,30.7,94.1,26.8,488.0,3.2,0.24,0.16,0.0,25-50th
121,39,2,21495.0,21.27,1.9,23.7,71.8,1.9,0.6,4.84,4.52,3.88,3.72,3.09,3.82,26.6,79.9,13.3,518.0,4.4,0.4,0.32,0.05,50-75th
122,30,2,20453.0,18.2,9.9,28.0,59.2,1.0,1.9,3.28,2.58,2.81,3.03,1.88,2.54,25.2,82.5,9.5,686.0,3.19,0.38,0.29,0.07,50-75th
123,39,2,24312.0,19.33,4.0,12.3,65.7,2.0,16.0,3.88,4.17,3.06,4.15,4.68,4.03,21.1,77.1,6.9,350.0,3.53,0.48,0.36,0.05,50-75th
124,17,1,23801.0,18.93,2.5,28.3,65.4,2.5,1.3,3.33,3.55,2.63,3.51,3.29,3.74,37.5,99.2,14.6,240.0,3.24,0.21,0.15,0.06,25-50th
125,9,0,20787.0,18.64,7.2,18.6,70.5,1.5,2.2,2.13,2.58,2.98,2.9,3.61,3.49,26.7,81.4,15.8,404.0,3.26,0.36,0.24,0.0,0-25th
126,0,0,26423.0,19.1,1.3,23.0,73.5,1.3,1.0,2.44,3.26,2.74,3.73,3.15,3.74,30.1,94.5,24.3,309.0,2.46,0.2,0.15,,0-25th
