,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed,acceptance_rate,percentile
127,19,1,24047.0,14.52,2.6,33.8,62.1,0.5,1.0,4.3,4.04,3.36,2.88,3.51,3.27,27.8,79.2,9.1,385.0,3.73,0.33,0.24,0.05,25-50th
128,21,1,23976.0,17.47,2.7,17.5,68.9,0.0,10.9,2.23,2.28,2.97,2.65,2.17,3.27,31.1,86.4,11.8,331.0,3.06,0.34,0.22,0.05,25-50th
129,29,2,20157.0,22.33,18.8,14.3,60.7,1.2,5.1,3.34,3.02,3.43,3.14,2.79,3.33,22.9,83.9,12.5,336.0,3.55,0.36,0.3,0.07,50-75th
130,7,0,21985.0,20.28,0.7,54.5,42.6,1.1,1.2,3.27,3.63,2.91,2.78,2.31,3.21,24.9,92.5,11.9,571.0,3.1,0.31,0.28,0.0,0-25th
131,24,1,23807.0,16.76,1.4,20.7,75.5,0.5,2.0,3.22,3.35,3.39,3.75,3.42,3.64,23.6,97.5,35.8,444.0,3.06,0.2,0.15,0.04,50-75th
132,0,0,23014.0,20.03,1.9,17.5,79.7,0.4,0.4,2.88,2.85,2.59,3.24,3.77,3.22,24.2,94.5,39.6,513.0,2.85,0.2,0.15,,0-25th
133,68,2,17483.0,22.69,1.1,41.0,55.9,1.4,0.6,3.84,4.64,4.32,3.71,3.3,3.78,17.1,93.4,4.7,363.0,4.29,0.52,0.43,0.03,75-100th
134,25,2,18314.0,19.25,5.7,47.3,44.8,0.9,1.3,3.74,3.64,3.64,4.0,3.16,3.95,24.6,90.5,15.1,317.0,4.04,0.33,0.26,0.08,50-75th
135,63,2,19413.0,28.62,2.8,4.4,91.0,0.8,1.1,3.77,3.82,3.73,3.73,2.96,3.26,18.9,86.7,28.7,1009.0,3.3,0.39,0.36,0.03,75-100th
136,7,0,23626.0,16.58,0.6,38.4,59.9,0.3,0.9,3.59,3.44,3.15,3.5,3.13,3.65,30.4,94.3,26.7,352.0,3.49,0.16,0.15,0.0,0-25th
137,0,0,37279.0,14.86,0.4,39.0,59.3,1.2,0.0,2.28,2.64,2.42,2.71,3.55,4.12,32.5,92.7,19.5,246.0,2.94,0.23,0.15,,0-25th
138,7,0,19248.0,16.33,0.6,55.0,42.7,1.4,0.4,2.71,2.77,3.54,2.86,3.61,2.63,27.0,78.3,5.1,511.0,2.66,0.31,0.23,0.0,0-25th
139,41,2,19760.0,20.85,0.8,18.6,79.7,0.0,0.8,2.33,2.77,2.12,2.35,2.32,3.72,23.0,96.3,39.1,488.0,3.64,0.26,0.17,0.05,50-75th
140,13,0,19177.0,16.35,0.2,32.8,65.6,0.8,0.6,4.05,4.03,3.7,3.07,3.83,3.76,29.1,93.5,13.5,616.0,4.06,0.29,0.22,0.0,25-50th
141,16,1,22009.0,20.31,0.9,25.9,71.4,0.9,0.9,4.07,4.86,4.44,4.87,3.76,4.71,32.8,99.4,12.0,332.0,4.35,0.36,0.25,0.06,25-50th
142,9,0,24320.0,17.36,0.6,29.5,68.9,0.0,1.0,3.23,2.49,2.6,2.86,3.06,2.72,24.1,92.4,32.4,315.0,2.72,0.21,0.15,0.0,0-25th
143,29,2,21047.0,17.75,1.6,32.0,63.9,1.1,1.4,2.71,2.75,2.44,3.45,2.43,2.97,25.1,95.0,28.8,438.0,3.39,0.25,0.17,0.07,50-75th
144,13,0,17680.0,20.32,2.9,26.4,68.4,0.8,1.5,4.04,4.44,3.89,3.78,4.23,3.96,19.0,87.9,12.1,522.0,2.12,0.37,0.28,0.0,25-50th
146,15,1,20147.0,19.46,0.3,21.0,77.2,0.3,1.2,3.93,4.26,3.73,3.77,3.3,3.91,24.8,91.0,11.9,734.0,4.26,0.38,0.3,0.07,25-50th
147,21,0,23511.0,17.0,0.0,32.6,66.1,0.4,0.8,4.06,4.45,3.11,4.2,2.92,4.21,28.5,85.5,33.9,242.0,3.21,0.2,0.15,0.0,25-50th
148,27,2,26815.0,16.38,1.7,29.3,68.0,0.4,0.6,3.52,3.48,3.44,3.54,3.32,3.37,26.9,91.3,29.3,516.0,3.68,0.21,0.15,0.07,50-75th
149,0,0,32058.0,8.23,0.9,24.8,69.2,4.3,0.9,2.58,3.09,3.11,2.98,2.37,3.25,32.9,95.7,35.5,234.0,1.65,0.15,0.15,,0-25th
150,18,1,25249.0,23.83,0.5,23.9,73.6,1.0,1.0,3.81,3.45,4.42,3.85,3.38,3.4,25.9,97.2,21.7,397.0,3.58,0.3,0.2,0.06,25-50th
151,10,0,18069.0,16.91,7.6,28.2,61.7,1.4,1.2,2.85,3.47,3.56,3.69,3.02,3.92,19.9,83.4,12.7,433.0,4.08,0.41,0.35,0.0,0-25th
152,35,2,19508.0,20.8,2.9,28.9,68.0,0.0,0.2,4.6,4.47,4.05,4.57,3.87,4.68,20.6,91.7,18.3,447.0,4.49,0.37,0.27,0.06,50-75th
153,13,0,18467.0,21.06,1.2,24.6,71.3,1.9,0.9,2.76,3.23,3.65,3.56,2.83,3.64,21.0,89.9,10.4,771.0,4.28,0.45,0.36,0.0,25-50th
154,30,2,19854.0,30.67,2.6,36.6,58.3,1.5,1.1,3.86,4.48,3.6,4.23,3.94,3.84,19.6,86.2,6.0,465.0,3.16,0.57,0.46,0.07,50-75th
155,13,0,27067.0,20.0,0.9,29.0,69.8,0.0,0.3,3.48,4.22,3.34,3.81,3.53,3.53,19.8,94.5,12.9,348.0,4.19,0.39,0.34,0.0,25-50th
156,27,2,19838.0,27.79,1.0,11.5,86.3,1.0,0.2,3.63,3.57,3.88,3.5,3.71,3.73,20.0,79.0,9.8,480.0,3.35,0.51,0.49,0.07,50-75th
157,42,2,19787.0,29.89,9.2,10.9,72.4,2.1,5.4,3.1,2.33,2.45,2.68,2.06,2.08,24.5,94.8,24.2,1072.0,3.1,0.32,0.27,0.05,50-75th
158,6,0,21759.0,21.99,2.0,21.5,73.2,1.4,1.9,4.46,4.77,2.55,4.16,3.98,4.42,27.6,85.3,15.3,646.0,3.02,0.33,0.31,0.0,0-25th
159,46,2,20065.0,19.44,2.0,15.6,77.2,0.8,4.4,2.54,3.55,2.69,3.44,3.08,3.89,18.5,97.0,20.1,710.0,2.96,0.34,0.22,0.04,50-75th
160,51,2,23165.0,19.44,12.7,12.9,68.6,0.9,4.9,3.54,3.19,3.21,3.68,2.62,3.15,22.7,90.6,33.6,691.0,4.08,0.23,0.17,0.04,50-75th
161,42,2,19614.0,25.81,6.2,17.0,70.1,1.9,4.7,3.69,3.47,2.86,3.57,4.0,3.62,19.5,81.2,17.8,1288.0,3.61,0.4,0.33,0.05,50-75th
162,270,29,18540.0,19.69,14.8,21.8,59.9,0.6,2.9,3.21,2.12,2.84,2.74,2.14,2.49,23.0,89.8,10.7,1174.0,2.91,0.51,0.43,0.11,75-100th
163,75,15,13260.0,22.58,7.7,9.0,56.4,1.5,25.4,3.24,3.33,3.45,3.26,3.83,3.11,19.7,51.4,6.7,1513.0,2.56,0.61,0.54,0.2,75-100th
164,8,0,24828.0,18.06,1.9,13.0,83.6,1.0,0.5,3.34,2.98,3.11,3.42,3.98,4.09,32.4,90.3,31.9,207.0,2.51,0.2,0.15,0.0,0-25th
165,6,0,18866.0,24.21,1.3,26.5,69.1,1.5,1.6,3.31,3.57,2.62,3.48,2.94,3.11,23.2,79.8,7.7,608.0,2.77,0.38,0.28,0.0,0-25th
166,64,2,29413.0,28.67,6.7,13.8,75.0,2.2,2.2,4.78,4.65,4.13,4.49,3.8,4.1,18.3,89.6,5.6,268.0,3.63,0.58,0.53,0.03,75-100th
167,18,1,19655.0,9.12,1.8,18.1,77.8,0.7,1.6,2.62,3.56,3.36,3.56,3.13,3.74,26.0,94.6,12.4,607.0,2.45,0.41,0.33,0.06,25-50th
168,91,2,18955.0,25.19,4.1,12.3,80.2,0.9,2.4,3.61,3.74,3.94,4.15,3.97,4.01,22.1,96.8,21.4,748.0,3.91,0.35,0.28,0.02,75-100th
170,38,2,19685.0,25.22,3.8,16.1,78.9,0.7,0.5,3.99,4.52,3.83,4.19,3.83,4.27,19.7,94.2,29.9,1092.0,3.54,0.31,0.28,0.05,50-75th
171,41,2,18900.0,29.56,10.4,7.9,75.1,0.7,5.9,4.41,4.61,3.57,3.85,3.77,4.15,28.0,95.9,16.8,876.0,3.55,0.39,0.36,0.05,50-75th
173,12,0,23058.0,24.18,1.2,13.3,84.3,0.8,0.4,4.48,4.57,3.51,4.43,4.0,3.99,21.3,97.6,15.7,249.0,2.75,0.44,0.38,0.0,25-50th
174,35,2,23541.0,22.71,1.7,25.4,72.9,0.0,0.0,4.03,4.46,4.33,4.31,4.11,4.38,23.2,87.8,19.6,409.0,3.74,0.31,0.2,0.06,50-75th
175,0,0,19904.0,23.61,0.2,0.4,99.2,0.0,0.2,2.92,4.07,4.2,3.72,3.61,3.74,7.1,97.5,66.5,523.0,3.52,0.17,0.15,,0-25th
176,45,2,26833.0,24.94,1.6,10.2,86.7,0.5,0.9,3.98,3.77,3.49,4.14,3.3,4.01,25.5,89.0,33.6,557.0,3.2,0.27,0.21,0.04,50-75th
177,27,2,19194.0,23.55,4.1,8.8,81.6,1.6,4.0,3.61,3.06,3.52,3.09,2.59,2.87,20.7,86.3,16.6,1003.0,2.11,0.46,0.4,0.07,50-75th
178,24,1,23289.0,19.66,0.6,12.8,86.5,0.0,0.2,3.52,3.51,3.14,3.91,4.28,3.87,25.0,98.1,29.7,539.0,3.97,0.29,0.2,0.04,50-75th
179,17,1,24051.0,17.42,1.5,21.9,74.3,0.9,1.3,2.21,2.6,2.63,2.87,2.94,2.62,27.0,91.9,36.0,530.0,2.62,0.21,0.15,0.06,25-50th
180,29,2,22233.0,24.68,1.5,9.8,86.5,0.9,1.3,3.92,3.91,3.91,3.32,3.51,3.49,18.3,91.7,35.0,460.0,4.26,0.3,0.23,0.07,50-75th
181,10,0,20286.0,19.78,1.8,12.9,81.3,2.9,1.1,2.76,2.76,2.21,2.04,2.34,3.28,27.7,92.1,30.9,278.0,2.84,0.21,0.15,0.0,0-25th
182,24,1,19006.0,28.63,2.9,6.8,28.0,2.2,60.1,4.06,4.18,3.12,3.73,3.87,3.81,16.0,59.7,9.4,511.0,3.56,0.59,0.57,0.04,50-75th
183,77,13,18360.0,26.87,9.0,6.7,48.2,1.1,35.0,3.51,4.22,3.95,3.52,3.83,3.53,18.8,64.0,17.5,1698.0,3.05,0.48,0.45,0.17,75-100th
184,25,2,18465.0,25.98,9.2,18.9,54.5,1.6,15.9,2.88,3.7,2.92,3.06,2.82,3.87,17.1,77.1,20.8,1548.0,3.09,0.4,0.36,0.08,50-75th
185,133,9,19552.0,22.52,31.6,21.8,42.1,1.7,2.7,3.63,4.09,3.61,3.91,2.87,3.61,17.7,76.7,17.0,806.0,3.13,0.44,0.35,0.07,75-100th
186,42,2,21736.0,20.97,2.8,60.2,32.5,0.4,4.1,4.19,3.98,3.32,4.19,3.94,4.53,27.6,76.0,10.6,492.0,3.86,0.29,0.19,0.05,50-75th
187,14,0,18821.0,20.44,3.6,9.0,35.8,2.7,48.8,4.35,3.47,3.76,3.51,3.94,3.51,17.8,51.2,3.0,332.0,3.25,0.55,0.55,0.0,25-50th
189,124,8,19188.0,22.38,5.0,59.0,29.3,3.1,3.6,4.78,4.31,3.3,4.02,3.54,3.7,23.4,81.5,3.4,883.0,3.99,0.48,0.38,0.06,75-100th
190,64,8,17529.0,29.39,36.3,6.0,49.7,2.4,5.7,4.65,3.73,3.67,4.05,3.04,3.5,14.4,80.1,19.6,1326.0,2.73,0.46,0.46,0.12,75-100th
191,23,1,22830.0,17.86,2.8,59.2,33.1,2.5,2.5,2.74,2.73,2.27,2.56,2.06,2.25,26.6,86.8,13.9,568.0,2.3,0.23,0.15,0.04,50-75th
192,37,2,20102.0,23.76,6.6,21.5,57.7,0.8,13.4,3.57,3.53,2.97,3.51,3.42,4.01,21.5,93.7,19.2,395.0,3.07,0.36,0.27,0.05,50-75th
193,24,1,26570.0,11.22,4.1,63.1,30.7,1.2,0.9,2.44,1.84,1.82,2.65,2.64,2.37,20.9,82.0,5.3,339.0,2.73,0.27,0.18,0.04,50-75th
194,29,2,22874.0,15.92,2.0,56.5,36.3,2.5,2.7,3.6,4.05,3.21,4.34,3.73,3.92,32.7,95.2,13.2,400.0,3.25,0.25,0.16,0.07,50-75th
195,24,1,22214.0,24.7,0.0,64.0,32.6,0.7,2.6,4.1,3.57,4.32,4.13,3.51,4.22,24.7,81.6,2.2,267.0,2.38,0.38,0.28,0.04,50-75th
196,35,2,20620.0,20.0,7.4,13.9,62.5,0.6,15.5,4.13,4.25,3.66,3.3,3.49,3.63,21.4,88.2,13.6,323.0,3.73,0.41,0.34,0.06,50-75th
197,36,2,19163.0,26.95,7.4,11.9,63.5,1.1,16.0,4.09,3.79,4.33,4.19,4.2,4.44,22.2,75.2,6.8,636.0,3.68,0.5,0.47,0.06,50-75th
198,35,2,21609.0,21.31,3.0,58.4,32.2,4.5,1.8,4.81,4.58,4.18,4.38,4.03,4.38,23.2,81.3,6.9,332.0,3.94,0.35,0.25,0.06,50-75th
199,15,1,21904.0,15.56,1.7,68.0,26.7,3.0,0.7,3.52,3.02,2.98,3.43,3.27,2.59,21.7,86.3,4.0,300.0,2.98,0.31,0.19,0.07,25-50th
200,52,2,21213.0,23.55,9.4,17.5,58.4,1.2,13.5,3.69,4.14,3.36,4.34,3.66,4.33,19.0,88.4,19.7,406.0,3.13,0.37,0.28,0.04,75-100th
201,31,2,21507.0,18.81,3.5,59.0,30.6,2.7,4.2,4.03,4.23,3.44,3.91,3.44,4.06,25.3,76.5,6.7,451.0,3.54,0.31,0.21,0.06,50-75th
202,0,0,29352.0,19.81,3.3,27.1,67.5,0.8,1.3,2.06,3.01,2.07,2.91,3.89,3.92,21.3,95.4,29.2,240.0,3.09,0.2,0.15,,0-25th
203,29,2,23038.0,19.81,2.7,28.8,66.2,1.4,1.0,4.04,4.12,3.94,4.18,3.59,4.54,29.4,92.8,12.8,517.0,4.12,0.21,0.15,0.07,50-75th
204,19,1,22168.0,19.77,1.7,22.0,73.4,2.1,0.8,3.27,3.41,3.13,3.27,2.77,3.07,24.1,91.3,9.1,241.0,3.92,0.31,0.24,0.05,25-50th
205,7,0,23594.0,21.97,0.2,13.9,85.1,0.3,0.5,2.31,2.17,3.59,2.44,2.88,2.32,19.6,92.1,20.2,598.0,3.36,0.25,0.2,0.0,0-25th
206,0,0,21904.0,20.75,0.5,34.6,63.4,0.9,0.7,1.89,2.19,1.56,2.32,1.49,2.61,13.5,97.5,21.1,437.0,1.5,0.33,0.28,,0-25th
207,28,2,18699.0,23.08,2.6,25.0,69.5,1.9,1.0,3.67,3.92,2.94,3.77,2.62,3.36,18.6,87.4,12.0,1078.0,2.44,0.34,0.3,0.07,50-75th
208,8,0,23724.0,14.63,2.0,31.3,63.3,2.3,1.0,2.56,2.74,2.3,2.88,3.17,2.15,32.7,96.3,18.3,300.0,2.79,0.22,0.15,0.0,0-25th
209,17,1,17738.0,15.92,2.8,16.6,77.6,1.9,1.2,4.27,4.01,3.74,3.03,3.3,3.29,27.0,84.8,12.6,682.0,3.92,0.28,0.18,0.06,25-50th
210,0,0,19742.0,18.16,1.4,19.0,77.7,0.7,1.2,3.89,3.61,3.52,2.34,2.93,2.57,25.6,94.3,14.5,579.0,3.48,0.31,0.22,,0-25th
211,14,0,22509.0,16.92,1.8,25.8,70.0,1.5,0.9,3.43,3.72,3.21,4.15,2.98,2.83,28.9,91.8,15.1,671.0,3.57,0.28,0.18,0.0,25-50th
212,11,0,21527.0,21.5,1.8,37.1,58.9,1.3,0.9,2.39,1.91,2.46,2.8,2.45,2.79,25.0,88.8,11.2,224.0,2.54,0.29,0.2,0.0,25-50th
213,0,0,22373.0,17.93,0.4,23.6,73.6,0.0,2.5,3.3,3.63,2.76,3.89,3.48,3.33,23.2,87.0,19.2,276.0,2.72,0.23,0.15,,0-25th
214,34,2,20241.0,22.53,1.8,27.0,69.1,0.8,1.3,4.09,3.75,3.96,2.7,3.56,3.18,26.2,90.1,8.8,385.0,3.02,0.38,0.29,0.06,50-75th
215,18,2,24780.0,17.58,2.0,26.2,70.7,0.4,0.8,3.39,3.25,3.0,3.28,3.52,3.16,27.0,98.4,17.6,256.0,2.2,0.26,0.18,0.11,25-50th
216,7,0,22610.0,17.6,0.7,24.5,72.8,0.0,2.0,3.02,2.46,2.01,2.77,3.15,2.8,29.1,90.7,15.2,151.0,2.8,0.25,0.16,0.0,0-25th
218,20,1,23351.0,19.15,3.5,24.7,62.9,5.8,3.1,3.34,3.06,2.95,3.19,3.2,2.94,28.2,91.1,19.7,259.0,3.41,0.23,0.15,0.05,25-50th
220,42,8,16592.0,29.75,6.3,15.2,12.0,7.5,59.0,4.25,4.3,3.6,3.43,3.97,3.42,12.6,18.3,2.9,916.0,3.15,0.8,0.81,0.19,50-75th
221,20,1,21089.0,18.41,4.3,68.2,23.0,2.0,2.6,3.41,3.32,3.18,3.64,3.95,3.73,30.2,91.1,5.9,305.0,2.54,0.32,0.21,0.05,25-50th
222,0,0,20549.0,14.79,1.7,69.1,26.5,0.0,2.6,2.99,2.9,2.7,3.27,3.56,3.82,21.7,97.4,10.9,230.0,3.26,0.24,0.15,,0-25th
223,8,0,25191.0,14.2,2.5,76.2,15.6,1.3,4.4,3.36,3.86,3.88,3.65,4.21,2.94,37.5,84.4,5.6,160.0,3.48,0.28,0.17,0.0,0-25th
225,0,0,23113.0,16.4,7.1,69.7,16.2,2.0,5.1,2.63,3.27,2.61,3.73,4.45,3.27,33.3,94.9,10.1,99.0,2.92,0.21,0.15,,0-25th
226,0,0,28214.0,17.0,6.5,67.8,19.6,0.5,5.5,3.31,3.28,3.09,3.38,3.67,2.79,25.1,72.4,1.5,199.0,3.62,0.56,0.46,,0-25th
227,21,1,25839.0,19.86,7.4,79.2,11.4,0.0,2.0,2.39,3.63,3.06,3.97,4.15,4.07,31.5,89.3,8.1,149.0,3.06,0.28,0.15,0.05,25-50th
228,26,2,17010.0,29.7,6.9,31.8,16.4,7.7,37.2,3.87,3.46,4.2,2.73,4.53,3.64,21.0,29.9,0.6,519.0,2.72,0.78,0.68,0.08,50-75th
229,22,1,17738.0,18.01,9.0,64.2,14.0,1.5,11.5,2.15,2.85,2.49,2.7,3.12,3.66,16.7,84.8,8.1,480.0,3.26,0.44,0.32,0.05,25-50th
230,17,1,20865.0,18.36,5.5,62.2,28.9,1.5,2.0,3.11,3.03,2.78,3.34,3.42,3.54,32.8,90.5,7.5,201.0,3.04,0.29,0.18,0.06,25-50th
231,7,0,25996.0,17.0,0.3,21.1,75.1,0.7,2.8,3.68,4.33,3.96,4.04,4.14,4.3,35.3,88.9,17.6,289.0,3.9,0.27,0.19,0.0,0-25th
232,0,0,26664.0,17.29,0.7,17.8,75.7,0.6,5.2,3.62,3.63,4.31,3.96,4.36,4.1,32.8,87.1,27.0,534.0,3.71,0.22,0.15,,0-25th
233,18,1,23406.0,25.14,3.7,3.8,62.0,5.0,25.5,3.55,3.84,3.35,3.52,3.94,3.63,16.6,47.0,15.9,793.0,2.41,0.48,0.45,0.06,25-50th
234,35,2,35124.0,17.67,1.1,19.6,68.8,0.5,10.1,4.05,3.73,3.46,3.95,3.89,3.46,25.9,84.1,9.0,378.0,2.42,0.42,0.32,0.06,50-75th
235,15,1,22083.0,20.67,0.4,18.2,78.7,0.8,1.9,3.49,3.37,3.38,3.36,4.11,3.4,27.3,86.6,17.1,479.0,2.74,0.28,0.22,0.07,25-50th
236,222,27,17551.0,26.75,8.2,16.8,61.1,1.0,13.0,4.04,3.85,3.75,3.94,3.51,3.86,18.3,65.4,7.6,1249.0,2.02,0.57,0.5,0.12,75-100th
237,90,7,17960.0,33.2,1.8,4.6,56.4,0.2,37.1,4.78,4.59,4.06,4.19,3.95,3.93,19.1,52.8,3.0,502.0,2.59,0.65,0.57,0.08,75-100th
238,0,0,23730.0,18.13,1.9,23.8,69.4,1.5,3.4,4.14,4.06,4.16,4.41,3.72,4.23,33.6,82.3,13.2,265.0,4.01,0.3,0.21,,0-25th
239,6,0,19024.0,19.5,1.0,37.1,59.3,0.0,2.6,3.61,3.95,2.85,4.24,3.86,4.2,24.8,89.3,13.5,496.0,1.63,0.29,0.19,0.0,0-25th
240,0,0,18186.0,18.47,3.4,48.5,39.9,3.0,5.2,3.4,2.68,3.71,3.64,4.31,3.28,18.2,77.1,7.9,406.0,2.44,0.46,0.32,,0-25th
241,280,122,16145.0,25.36,16.4,7.6,20.4,4.7,51.0,3.56,3.81,4.03,3.83,3.1,3.31,17.7,28.7,2.2,1136.0,4.05,0.83,0.83,0.44,75-100th
242,163,20,20927.0,23.19,19.6,11.0,56.5,0.9,11.9,4.58,4.24,3.64,4.34,2.79,3.27,24.6,80.5,12.7,1350.0,3.13,0.5,0.44,0.12,75-100th
243,18,1,23921.0,23.19,7.6,2.7,81.2,0.4,8.0,3.6,4.37,3.84,4.18,3.06,4.13,23.1,97.3,39.8,485.0,2.79,0.25,0.18,0.06,25-50th
244,25,2,30895.0,17.55,5.4,20.9,39.3,0.8,33.5,4.01,4.32,3.51,3.3,3.83,3.4,38.5,49.4,3.8,239.0,3.37,0.54,0.47,0.08,50-75th
245,94,19,17671.0,29.5,4.9,7.4,32.8,2.8,52.0,4.78,4.38,4.09,3.81,3.49,3.79,21.0,30.3,1.4,567.0,4.4,0.74,0.64,0.2,75-100th
246,134,51,22688.0,25.7,9.5,11.4,20.1,3.8,55.3,4.13,4.37,4.17,3.8,4.31,3.95,21.4,20.1,0.9,528.0,4.39,0.84,0.83,0.38,75-100th
